name, b3lyp-t1-min-confs, b3lyp-t2-min-confs, min-G-t1, min-G-t2, confs-bw-G-t1, confs-bw-G-t1, confs-bw-rot-G-t1, confs-bw-rot-G-t1, exp-dG, min-dG, confs-bw-dG, confs-bw-rot-dG 
SAMPLmol2, 2, 1, -299321.8, -299329.5, -299321.9, -299329.5, -299321.9, -299330.3, -6.1, -7.7, -7.7, -8.5 
SAMPLmol4, 2, 1, -299318.6, -299320.2, -299318.7, -299320.2, -299318.7, -299321.0, -2.3, -1.6, -1.5, -2.3 
molDWRow_1000, 2, 1, -213022.3, -213026.0, -213022.4, -213026.0, -213022.4, -213026.4, -2.59217, -3.7, -3.6, -4.0 
molDWRow_1001, 2, 1, -309393.5, -309399.9, -309393.6, -309399.9, -309393.6, -309399.9, -3.6836100000000003, -6.4, -6.3, -6.3 
molDWRow_1002, 2, 1, -473277.6, -473279.0, -473277.8, -473279.0, -473279.9, -473281.2, 1.023225, -1.4, -1.2, -1.2 
molDWRow_1003, 2, 1, -213005.7, -213014.0, -213005.8, -213014.0, -213005.8, -213014.4, -6.95793, -8.3, -8.2, -8.6 
molDWRow_1005, 2, 1, -309376.5, -309388.2, -309376.5, -309388.2, -309376.5, -309388.2, -9.27724, -11.7, -11.7, -11.7 
molDWRow_1006, 2, 1, -309372.0, -309376.2, -309372.1, -309376.2, -309372.1, -309376.2, -4.22933, -4.2, -4.1, -4.1 
molDWRow_1010, 2, 1, -423996.1, -423996.8, -423996.2, -423996.8, -423996.2, -423996.8, 1.023225, -0.7, -0.6, -0.6 
molDWRow_1034, 2, 1, -260254.0, -260262.7, -260254.1, -260262.7, -260254.1, -260264.1, -6.27578, -8.6, -8.6, -10.1 
molDWRow_1035, 2, 1, -260250.0, -260262.6, -260250.0, -260262.6, -260250.0, -260264.1, -7.91294, -12.6, -12.6, -14.1 
molDWRow_1036, 2, 1, -356623.2, -356635.9, -356623.2, -356635.9, -356623.2, -356636.8, -9.27724, -12.7, -12.7, -13.5 
molDWRow_104, 1, 2, -121159.8, -121145.2, -121159.8, -121145.5, -121162.4, -121147.0, 11.773909000000002, 14.6, 14.3, 15.4 
molDWRow_105, 4, 6, -170451.8, -170437.9, -170452.5, -170438.7, -170456.1, -170441.7, 11.746623, 13.9, 13.7, 14.4 
molDWRow_1056, 1, 2, -213762.0, -213755.3, -213762.0, -213755.5, -213763.5, -213756.6, -0.0, 6.7, 6.5, 7.0 
molDWRow_1057, 1, 2, -213762.0, -213760.7, -213762.0, -213761.1, -213763.4, -213762.6, -2.8650300000000004, 1.2, 0.8, 0.8 
molDWRow_1058, 2, 2, -213755.8, -213760.8, -213755.9, -213761.2, -213757.0, -213762.7, -2.8650300000000004, -4.9, -5.3, -5.7 
molDWRow_1059, 2, 2, -213759.2, -213760.9, -213759.5, -213761.2, -213760.6, -213762.7, -1.22787, -1.8, -1.7, -2.1 
molDWRow_106, 2, 2, -195098.4, -195084.7, -195098.8, -195085.1, -195104.2, -195089.8, 11.951268, 13.8, 13.7, 14.4 
molDWRow_1060, 1, 1, -213756.1, -213759.3, -213756.1, -213759.3, -213757.2, -213760.3, -1.63716, -3.1, -3.1, -3.1 
molDWRow_1064, 1, 2, -238399.6, -238405.3, -238399.6, -238405.6, -238401.7, -238408.1, -2.31931, -5.7, -6.0, -6.4 
molDWRow_107, 3, 4, -194354.9, -194343.5, -194355.0, -194344.1, -194357.4, -194345.7, 9.127167000000002, 11.5, 10.9, 11.7 
molDWRow_1072, 2, 1, -250867.0, -250868.9, -250867.2, -250868.9, -250869.4, -250871.0, 0.27286000000000005, -1.9, -1.7, -1.7 
molDWRow_108, 2, 4, -289980.1, -289967.8, -289980.4, -289968.3, -289981.6, -289969.2, 9.973033, 12.3, 12.0, 12.4 
molDWRow_1081, 1, 1, -272412.2, -272421.6, -272412.2, -272421.6, -272413.7, -272423.1, -5.59363, -9.4, -9.4, -9.4 
molDWRow_1082, 2, 3, -307114.9, -307120.8, -307115.3, -307121.1, -307117.2, -307122.6, -2.04645, -5.9, -5.8, -5.4 
molDWRow_1083, 1, 5, -319583.8, -319583.2, -319583.8, -319583.8, -319585.3, -319584.9, 1.5007300000000001, 0.5, -0.0, 0.4 
molDWRow_1088, 4, 3, -549164.3, -549166.5, -549164.8, -549166.8, -549165.2, -549167.3, -0.68215, -2.2, -2.0, -2.0 
molDWRow_109, 2, 4, -169705.6, -169691.6, -169706.0, -169692.3, -169708.1, -169693.6, 11.241832, 14.0, 13.7, 14.5 
molDWRow_110, 2, 7, -313268.6, -313253.2, -313269.0, -313254.0, -313271.6, -313255.9, 12.005840000000001, 15.4, 15.0, 15.7 
molDWRow_1102, 2, 1, -356598.4, -356599.7, -356598.5, -356599.7, -356598.5, -356600.5, -1.3643, -1.2, -1.2, -2.0 
molDWRow_1106, 2, 4, -391328.4, -391321.5, -391328.8, -391322.0, -391329.6, -391322.4, 2.31931, 6.9, 6.8, 7.2 
molDWRow_1109, 2, 1, -405596.6, -405601.7, -405596.9, -405601.7, -405596.9, -405603.1, -6.27578, -5.1, -4.7, -6.2 
molDWRow_1110, 2, 1, -693992.2, -693991.2, -693992.6, -693991.2, -693992.6, -693992.7, -1.0368680000000001, 1.0, 1.3, -0.1 
molDWRow_1114, 1, 1, -501966.4, -501973.9, -501966.4, -501973.9, -501966.4, -501974.7, -6.95793, -7.4, -7.4, -8.2 
